Sl. No.,State/U.T.,Area,BalwadiNOI,Balwadi.Teachers.M,Balwadi.Teachers.F,AnganwadiNOI,Anganwadi +AC0- Teachers +AC0- M,Anganwadi +AC0- Teachers +AC0- F,ECCENOI,ECCE+AC0- Teachers +AC0- M,ECCE+AC0- Teachers +AC0- F,preprimaryNOI,preprimary+AC0- Teachers +AC0- M,preprimary+AC0- Teachers +IBM- F,UnrecognisedNOI,Unrecognised +AC0- Teachers +AC0- M,Unrecognised +AC0- Teachers +AC0- F
8,Dadra and Nagar Haveli,T,6,0,6,136,0,140,0,0,0,1,0,0,0,0,0
9,Daman and Diu,R,7,0,5,24,0,15,1,0,1,4,1,11,0,0,0
9,Daman and Diu,U,1,0,8,1,0,14,0,0,0,3,0,14,0,0,0
9,Daman and Diu,T,8,0,13,25,0,29,1,0,1,7,1,25,0,0,0
10,Delhi,R,1,0,0,333,3,376,4,0,4,7,2,12,18,0,37
10,Delhi,U,7,26,13,669,1,1595,57,1,55,12,2,30,124,15,333
10,Delhi,T,8,26,13,1002,4,1971,61,1,59,19,4,42,142,15,370
11,Goa,R,0,0,0,673,6,645,8,19,26,53,0,120,17,0,35
11,Goa,U,0,0,0,262,1,299,3,0,6,38,2,106,5,0,18
11,Goa,T,0,0,0,935,7,944,11,19,32,91,2,226,22,0,53
12,Gujarat,R,752,13,881,16634,1255,18178,672,18,688,134,26,314,62,44,119
12,Gujarat,U,39,6,49,782,124,1503,67,3,121,9,0,57,4,0,7
12,Gujarat,T,791,19,930,17416,1379,19681,739,21,809,143,26,371,66,44,126
13,Haryana,R,426,40,432,8192,347,8077,84,26,140,130,52,176,250,240,447
13,Haryana,U,47,4,78,449,13,471,27,0,52,12,9,77,78,0,131
13,Haryana,T,473,44,510,8641,360,8548,111,26,192,142,61,253,328,240,578
14,Himachal Pradesh,R,436,5,424,13863,221,14239,658,21,649,110,52,195,90,35,172
14,Himachal Pradesh,U,35,0,51,435,0,536,4,0,3,52,1,106,10,2,34
14,Himachal Pradesh,T,471,5,475,14298,221,14775,662,21,652,162,53,301,100,37,206
